outcome	result_reldir	n_seeds	nested_n	estimate	ci_lower	ci_upper	ci_half_width	nested_estimate	nested_change	relative_precision_defined	relative_ci_half_width	relative_nested_change
agent_holdout_r2	phase/rho_delta/cells/2_4	20	10	-1.9072386656418268	-2.0641832636445736	-1.75029406763908	0.15694459800274685	-1.7973402645365024	0.10989840110532434	true	0.08228891372120521	0.05762173506918767
agent_holdout_r2	phase/rho_delta/cells/4_0	20	10	-0.6959092006654515	-0.8191562051013156	-0.5726621962295874	0.12324700443586412	-0.6174175174362145	0.07849168322923694	true	0.17710213389621984	0.11279012140402885
agent_holdout_r2	phase/rho_delta/cells/4_1	20	10	-0.7667914401682984	-0.8964267571535325	-0.6371561231830642	0.12963531698523412	-0.6917247032920059	0.0750667368762925	true	0.16906202937891593	0.09789720247766011
agent_holdout_r2	phase/rho_delta/cells/4_3	20	10	-1.1351650988488111	-1.2946449574854282	-0.9756852402121942	0.159479858636617	-1.0118171056457912	0.12334799320301992	true	0.1404904527089038	0.10866084002063583
agent_holdout_r2	phase/rho_delta/cells/4_4	20	10	-1.2628873884474912	-1.4629292940650251	-1.0628454828299572	0.200041905617534	-1.0572713746338653	0.20561601381362582	true	0.15840043019469222	0.16281421106469068
agent_holdout_r2	phase/rho_delta/cells/5_0	20	10	-0.7114039790131912	-0.8689510928021382	-0.5538568652242442	0.15754711378894704	-0.5930281896275403	0.11837578938565085	true	0.2214594217022586	0.16639742379548297
agent_holdout_r2	phase/rho_delta/cells/5_1	20	10	-0.7858763430793221	-0.9861611014812369	-0.5855915846774072	0.20028475840191484	-0.5966703405834005	0.18920600249592157	true	0.25485530919168947	0.2407579820440328
agent_holdout_r2	phase/rho_delta/cells/5_3	20	10	-0.9695410211326241	-1.1876318377931658	-0.7514502044720824	0.2180908166605417	-0.7332138044408253	0.2363272166917988	true	0.22494233034695799	0.2437516428296348
agent_holdout_r2	phase/rho_delta/cells/5_4	20	10	-0.9933090721295537	-1.19291570737441	-0.7937024368846972	0.19960663524485645	-0.7794564113725839	0.21385266075696974	true	0.20095118513004226	0.21529317184075583
agent_holdout_r2	phase/rho_eta/cells/0_0	20	10	-3.1544882018736993	-3.5389029012378237	-2.770073502509575	0.3844146993641244	-2.934144934742635	0.2203432671310641	true	0.1218627792412697	0.06985071841453865
agent_holdout_r2	phase/rho_eta/cells/0_1	20	10	-3.1193191441074695	-3.5224841948674364	-2.7161540933475026	0.4031650507599669	-2.8933406370802013	0.22597850702726818	true	0.1292477723933966	0.07244481779113608
agent_holdout_r2	phase/rho_eta/cells/0_2	20	10	-1.9279912839081805	-2.1540090231515063	-1.7019735446648547	0.2260177392433258	-1.782874015735446	0.14511726817273463	true	0.11722964783594414	0.07526863289473551
agent_holdout_r2	phase/rho_eta/cells/0_4	20	10	-1.2224643270323283	-1.3904992183221547	-1.054429435742502	0.1680348912898264	-1.146023243776364	0.07644108325596433	true	0.13745586482490682	0.06253031811695789
agent_holdout_r2	phase/rho_eta/cells/1_0	20	10	-2.8190780063094065	-3.1772855504961792	-2.460870462122634	0.3582075441867727	-2.7258676488478413	0.09321035746156525	true	0.1270654956638535	0.03306412850334408
agent_holdout_r2	phase/rho_eta/cells/1_1	20	10	-2.9565996470413167	-3.258013879713678	-2.6551854143689555	0.3014142326723612	-2.8836787744223433	0.0729208726189734	true	0.10194624523275847	0.02466376287771855
agent_holdout_r2	phase/rho_eta/cells/1_2	20	10	-1.723932326513755	-1.9205824155446427	-1.5272822374828672	0.19665008903088776	-1.7404624528924775	0.01653012637872253	true	0.11407065463443453	0.00958861674817062
agent_holdout_r2	phase/rho_eta/cells/1_4	20	10	-1.236207897526129	-1.408159442960793	-1.064256352091465	0.17195154543466407	-1.2672836768137454	0.0310757792876164	true	0.13909597712388796	0.025137987995226804
agent_holdout_r2	phase/rho_eta/cells/3_0	20	10	-1.4757731020229223	-1.7083643682884484	-1.2431818357573963	0.23259126626552606	-1.3868173018024608	0.08895580022046157	true	0.1576063867451579	0.06027742347283944
agent_holdout_r2	phase/rho_eta/cells/3_1	20	10	-1.392635826520285	-1.6090083311989811	-1.1762633218415888	0.21637250467869618	-1.3000084017929716	0.09262742472731333	true	0.1553690495090423	0.06651230922211532
agent_holdout_r2	phase/rho_eta/cells/3_2	20	10	-0.9272916047700047	-1.1577225000343814	-0.6968607095056281	0.23043089526437666	-0.707041665769665	0.22024993900033973	true	0.24849884769692293	0.2375196085755226
agent_holdout_r2	phase/rho_eta/cells/3_4	20	10	-0.8922837386597285	-1.0758943400483343	-0.7086731372711228	0.18361060138860574	-0.743491850791528	0.14879188786820052	true	0.20577602553241806	0.16675400595296755
agent_holdout_r2	phase/rho_eta/cells/4_0	20	10	-1.1160756621781438	-1.3437995846797075	-0.8883517396765801	0.2277239225015637	-1.0458479248068302	0.0702277373713136	true	0.20403986057462767	0.06292381399506239
agent_holdout_r2	phase/rho_eta/cells/4_1	20	10	-0.935429299898917	-1.1651981101751505	-0.7056604896226836	0.22976881027623347	-0.7284113980694541	0.2070179018294629	true	0.245629263805466	0.22130790841363784
agent_holdout_r2	phase/rho_eta/cells/4_2	20	10	-0.7200513723302657	-1.0015967651624087	-0.4385059794981228	0.28154539283214297	-0.6381839087811593	0.08186746354910646	true	0.39100736926726753	0.11369669817330247
agent_holdout_r2	phase/rho_eta/cells/4_4	20	10	-0.8230328050453923	-1.0087198844681733	-0.6373457256226114	0.18568707942278095	-0.6625380700964795	0.16049473494891286	true	0.2256132177046574	0.19500405568896026
agent_holdout_r2	phase/rho_r/cells/0_0	20	10	-1.3938461599426726	-1.5974380758453668	-1.1902542440399784	0.2035919159026942	-1.3264601474910318	0.06738601245164078	true	0.1460648396886696	0.048345372960249995
agent_holdout_r2	phase/rho_r/cells/0_2	20	10	-1.4647739764844447	-1.6484812814049723	-1.2810666715639172	0.18370730492052756	-1.397220249243668	0.06755372724077668	true	0.12541682735341692	0.046118874533059455
agent_holdout_r2	phase/rho_r/cells/0_3	20	10	-1.3350190652536733	-1.5306219197473045	-1.139416210760042	0.19560285449363124	-1.2897689157099461	0.04525014954372719	true	0.14651689970919166	0.03389475904984847
agent_holdout_r2	phase/rho_r/cells/2_0	20	10	-0.7381457206440591	-0.9352871116099876	-0.5410043296781307	0.19714139096592842	-0.5837307819005494	0.15441493874350976	true	0.267076520871672	0.209193028456193
agent_holdout_r2	phase/rho_r/cells/2_2	20	10	-0.7822144084290069	-0.9537646629360292	-0.6106641539219846	0.17155025450702233	-0.5530791473037324	0.2291352611252745	true	0.2193135956822407	0.29293152702910175
agent_holdout_r2	phase/rho_r/cells/2_3	20	10	-0.708426577291123	-0.8668161395662712	-0.5500370150159748	0.15838956227514822	-0.5571622156111226	0.15126436168000046	true	0.22357936214194166	0.21352157941110023
broker_holdout_r2	oat/N=1500	20	10	0.8494917432943112	0.8185126436160935	0.8804708429725289	0.03097909967821766	0.8532341235391913	0.0037423802448800503	true	0.036467805511659665	0.004405434513544744
broker_holdout_r2	oat/N=500	20	10	0.6966225409246378	0.5274533124405172	0.8657917694087585	0.16916922848412064	0.7674254305897674	0.0708028896651296	true	0.24284202497895016	0.1016373796506094
broker_holdout_r2	oat/delta=0.0	20	10	0.7903722278898131	0.7210059607621426	0.8597384950174836	0.06936626712767047	0.8252370360186454	0.0348648081288323	true	0.0877640492415441	0.04411188412062077
broker_holdout_r2	oat/delta=0.25	20	10	0.8144041074439619	0.7646399800893843	0.8641682347985394	0.04976412735457758	0.7915125326166995	0.02289157482726234	true	0.06110495624925589	0.02810837349422072
broker_holdout_r2	oat/delta=0.75	20	10	0.652811609847401	0.5052415938905109	0.8003816258042912	0.14757001595689012	0.622999008907895	0.029812600939506106	true	0.22605298945492952	0.04566800052234824
broker_holdout_r2	oat/delta=1.0	20	10	0.6289202509164642	0.45372079883336647	0.8041197029995619	0.17519945208309773	0.6849796130620128	0.05605936214554863	true	0.2785718091090192	0.08913588338721608
broker_holdout_r2	oat/eta=0.0	20	10	0.44596571472572377	0.174718158321494	0.7172132711299535	0.2712475564042297	0.5053643337253048	0.05939861899958099	true	0.6082251335644746	0.1331909988553988
