seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
31	0.6363631332082551	0.4512749530956849	-0.18508818011257022	0.8839594746716697	0.8623723264540339	-0.021587148217635743	0.24759634146341472	0.41109737335834906	0.16350103189493434	-0.9046966984357965	-2.488360829379356	-1.5836641309435595	-0.18853894023432488	0.6722719218458876	0.8608108620802124	0.7161577582014717	3.1606327512252435	2.4444749930237717	1.681405775131676	1.4614536348869431	-0.21995214024473286	0.9947900671271889	0.9617810215443768	-0.033009045582812035	0.10195765309628417	0.1122311041011711	0.010273451004886927	0.8560880573280027	0.7937902624952884	-0.06229779483271436	16.410500000000003	17.6035	1.1929999999999978
32	0.6480848030018762	0.45223855534709195	-0.19584624765478426	0.9390647279549718	0.8635139774859285	-0.07555075046904325	0.29097992495309566	0.4112754221388367	0.12029549718574106	-1.0439317274894895	-2.685301186267699	-1.6413694587782095	0.6862477994631494	0.6311091902595141	-0.055138609203635336	1.730179526952639	3.3164103765272133	1.5862308495745743	1.6612969999724272	1.356224620670733	-0.3050723793016943	0.9912582121333671	0.963220601077099	-0.02803761105626812	0.1020593218324312	0.1005514410485308	-0.001507880783900406	0.8324979346967385	0.7850375334484162	-0.04746040124832229	15.78055	17.9728	2.1922499999999996
33	0.6405832082551595	0.4927477485928705	-0.14783545966228895	0.9785166979362103	0.8231863977485927	-0.15533030018761762	0.3379334896810507	0.3304386491557222	-0.0074948405253285055	-0.9011620164485039	-2.207510895070393	-1.306348878621889	0.9483927026840678	0.5466603542342454	-0.4017323484498224	1.849554719132572	2.7541712493046386	0.9046165301720666	1.939726450856659	1.6148387501703525	-0.32488770068630646	0.9872562511265818	0.9308750152747927	-0.05638123585178911	0.11032020491659669	0.12352989219966334	0.013209687283066651	0.7996339265307745	0.756320389285242	-0.04331353724553244	18.718700000000002	18.6372	-0.0815000000000019
34	0.6407261726078799	0.524431894934334	-0.11629427767354594	0.916218761726079	0.830084990619137	-0.08613377110694198	0.27549258911819885	0.30565309568480303	0.030160506566604184	-1.0054878323010104	-2.582159873094784	-1.5766720407937735	0.7782762042262299	0.5436400746579252	-0.2346361295683047	1.7837640365272407	3.125799947752709	1.3420359112254683	1.895639653871683	1.8240041993700171	-0.07163545450166597	0.9436528091603602	0.9173827941579763	-0.026270015002383906	0.14493064813512527	0.10002892554198461	-0.04490172259314065	0.7413603628458284	0.7623881355127227	0.021027772666894262	19.688800000000004	17.957500000000003	-1.731300000000001
35	0.5984924953095685	0.4656362101313321	-0.1328562851782364	0.9610291744840527	0.8517326454033773	-0.10929652908067533	0.362536679174484	0.38609643527204507	0.023559756097561058	-1.3823837237610592	-2.9740163380446045	-1.5916326142835453	0.906976101115401	0.5260372630341857	-0.3809388380812152	2.2893598248764597	3.5000536010787906	1.2106937762023309	1.6654996104838582	1.3702275986465113	-0.29527201183734686	0.9864521750982469	0.9655898638807644	-0.0208623112174825	0.1036274104586056	0.12946227344158778	0.025834862982982182	0.8096085703309625	0.730688637195979	-0.07891993313498347	17.0649	18.772550000000003	1.707650000000001
36	0.6230462476547841	0.4472161350844277	-0.1758301125703564	0.9436157598499063	0.8438304878048781	-0.09978527204502818	0.32056951219512203	0.3966143527204503	0.07604484052532828	-1.1579958033571665	-3.224325427123465	-2.0663296237662987	0.8900499715335544	0.5363565088747695	-0.3536934626587849	2.0480457748907206	3.760681935998234	1.7126361611075134	1.3042484414346047	1.2739304817672776	-0.030317959667327088	0.9755403958322548	0.968492874148603	-0.007047521683651858	0.10716691318255205	0.11548323032028848	0.008316317137736437	0.8243025895124918	0.8066539356026127	-0.01764865390987913	16.560049999999997	17.622999999999998	1.0629500000000007
37	0.5887621951219513	0.5005069418386492	-0.08825525328330208	0.9713397748592871	0.8017755159474671	-0.16956425891182003	0.3825775797373358	0.301268574108818	-0.08130900562851778	-1.5243176051939795	-2.5490743125146613	-1.0247567073206818	0.8888930266769283	0.5287790239843841	-0.3601140026925441	2.413210631870908	3.0778533364990457	0.6646427046281378	1.6548783409255077	1.641846939700209	-0.013031401225298778	0.9679322455056176	0.8902829496261802	-0.07764929587943747	0.11847095248307205	0.12807243085990086	0.009601478376828815	0.7906319124939553	0.7052634260888884	-0.08536848640506689	17.709899999999998	19.434549999999998	1.7246500000000005
38	0.6382631332082551	0.4277247654784239	-0.2105383677298312	0.963870919324578	0.877634521575985	-0.08623639774859304	0.3256077861163228	0.44990975609756106	0.12430196998123827	-0.8788120859952256	-3.220644389017159	-2.3418323030219335	0.9069899345793948	0.4883315476527833	-0.4186583869266115	1.7858020205746208	3.708975936669943	1.9231739160953223	1.3860919640113507	1.4537960217439778	0.06770405773262711	0.959083099529184	0.9565174960920777	-0.002565603437106323	0.11833957375702764	0.09464486883810866	-0.02369470491891898	0.7893485103968307	0.7846096881591504	-0.004738822237680296	18.6111	17.047800000000002	-1.5632999999999981
39	0.6325098499061913	0.4696728893058162	-0.1628369606003751	0.9623713883677298	0.8349146341463415	-0.12745675422138836	0.32986153846153854	0.3652417448405253	0.035380206378986756	-0.9269838400545032	-2.4385822864720987	-1.5115984464175956	0.8905402120583423	0.5888258545413125	-0.3017143575170298	1.8175240521128455	3.027408141013411	1.2098840889005655	1.7495450436991167	1.6854472843084973	-0.06409775939061935	0.9592605386953114	0.9465930298907734	-0.01266750880453793	0.09616491705962579	0.10810402352146986	0.011939106461844068	0.7847499656409633	0.7422929390524158	-0.04245702658854755	18.482599999999998	18.204	-0.2785999999999973
40	0.5587560037523451	0.4303005628517823	-0.12845544090056282	0.9616418386491556	0.8217636022514071	-0.13987823639774855	0.40288583489681057	0.39146303939962485	-0.011422795497185723	-1.5712189147236355	-3.111944120455985	-1.5407252057323495	0.883168621357869	0.5932025560145966	-0.2899660653432724	2.4543875360815046	3.7051466764705814	1.2507591403890768	1.5512772691234764	1.4848272079540394	-0.06645006116943697	0.9824488003863262	0.9414266985287826	-0.041022101857543625	0.10555478406287788	0.11230481534142442	0.006750031278546537	0.8147988411039604	0.757996010306847	-0.056802830797113346	17.1726	18.1027	0.9300999999999995
