seed	nn_agent_holdout_rank	ridge_agent_holdout_rank	delta_agent_holdout_rank	nn_broker_holdout_rank	ridge_broker_holdout_rank	delta_broker_holdout_rank	nn_rank_gap	ridge_rank_gap	delta_rank_gap	nn_agent_holdout_r2	ridge_agent_holdout_r2	delta_agent_holdout_r2	nn_broker_holdout_r2	ridge_broker_holdout_r2	delta_broker_holdout_r2	nn_r2_gap	ridge_r2_gap	delta_r2_gap	nn_output_gap	ridge_output_gap	delta_output_gap	nn_outsourcing_rate	ridge_outsourcing_rate	delta_outsourcing_rate	nn_access_fraction	ridge_access_fraction	delta_access_fraction	nn_betweenness	ridge_betweenness	delta_betweenness	nn_mean_degree	ridge_mean_degree	delta_mean_degree
11	0.5563330206378987	0.46998086303939973	-0.08635215759849896	0.9517305816135083	0.8334531894934335	-0.11827739212007482	0.3953975609756097	0.3634723264540337	-0.031925234521575974	-2.4360533172049275	-2.650588344100118	-0.21453502689519066	0.8692198572389579	0.4132596374948953	-0.4559602197440626	3.3052731744438852	3.0638479815950133	-0.24142519284887198	0.9074964112967396	0.7255658741230471	-0.18193053717369256	0.9882224969998642	0.9401050329483462	-0.048117464051517955	0.10653839546931292	0.11546496876259586	0.008926573293282947	0.790552598172811	0.7292401879718697	-0.06131241020094125	17.462200000000003	17.885650000000002	0.423449999999999
12	0.48859671669793625	0.45546238273921197	-0.03313433395872428	0.890365947467167	0.7945896810506566	-0.09577626641651038	0.40176923076923077	0.33912729831144456	-0.06264193245778621	-3.754951648012068	-2.923475299050446	0.8314763489616221	0.848119313556803	0.4029703027965034	-0.4451490107602996	4.603070961568872	3.3264456018469497	-1.2766253597219226	0.7825592601038628	0.5917806674912603	-0.19077859261260244	0.9778953592932587	0.9378949167926546	-0.04000044250060408	0.0923092520539463	0.1126011451796924	0.0202918931257461	0.8509406462935797	0.815702514887862	-0.03523813140571763	16.526900000000005	18.14645	1.6195499999999967
13	0.5507979362101313	0.535672607879925	-0.0151253283302063	0.9156945590994372	0.7950959662288931	-0.12059859287054409	0.3648966228893058	0.2594233583489681	-0.10547326454033767	-2.689030595797481	-2.0042437849482044	0.6847868108492765	0.8706999139697926	0.3459853720966448	-0.5247145418731478	3.559730509767274	2.3502291570448497	-1.209501352722424	0.7710239883067154	0.6794402656355807	-0.09158372267113468	0.9809852162912636	0.9331943589755485	-0.047790857315715085	0.0993297928574432	0.1162921031711734	0.016962310313730203	0.8204392460003189	0.7807962527982613	-0.039642993202057664	17.27915	18.1678	0.8886499999999984
14	0.5288548780487805	0.4966174484052532	-0.03223742964352733	0.9509463414634147	0.8441809568480299	-0.10676538461538487	0.4220914634146343	0.3475635084427767	-0.0745279549718576	-2.433975317753692	-2.299724526491205	0.13425079126248685	0.8191406280672574	0.576111321936843	-0.2430293061304144	3.25311594582095	2.8758358484280477	-0.37728009739290247	0.6922796016211299	0.6411585596322467	-0.05112104198888323	0.9875633587843394	0.9428294761377476	-0.04473388264659184	0.0997395663422028	0.10154348980955012	0.0018039234673473264	0.8341864170842609	0.7831436626620446	-0.051042754422216285	17.34615	17.80045	0.4542999999999999
15	0.4352917448405253	0.47017223264540337	0.03488048780487807	0.9219680112570355	0.790393339587242	-0.13157467166979353	0.4866762664165103	0.3202211069418387	-0.1664551594746716	-4.131203092553125	-2.7274300200948063	1.403773072458319	0.7907946754786129	0.45694564590934794	-0.333849029569265	4.921997768031739	3.184375666004154	-1.737622102027585	0.5521292990582605	0.4148135511705127	-0.13731574788774775	0.989633359148945	0.9365533412248623	-0.05308001792408268	0.10272252267874944	0.11088639397030309	0.008163871291553645	0.8704708699694705	0.8270734817699339	-0.043397388199536646	17.102850000000004	18.0817	0.9788499999999978
16	0.4602974671669794	0.4550011257035648	-0.005296341463414567	0.8833758911819887	0.8184357410881802	-0.06494015009380849	0.4230784240150093	0.3634346153846154	-0.05964380863039387	-3.7078558842520053	-2.9603752759667463	0.747480608285259	0.7478852530670033	0.489012277902647	-0.25887297516435626	4.455741137319009	3.4493875538693928	-1.0063535834496165	0.5292216775075237	0.5442872587075545	0.015065581200030764	0.9368916516925045	0.947961355503916	0.01106970381141148	0.12980539189753454	0.10474303851784024	-0.0250623533796943	0.7637937668302051	0.7627089331745819	-0.0010848336556231741	20.1347	17.311700000000002	-2.822999999999997
17	0.5299894934333959	0.4731416510318949	-0.056847842401500925	0.8349543151969983	0.7918324577861162	-0.043121857410882036	0.3049648217636022	0.3186908067542214	0.013725984990619222	-3.0774151621589296	-3.0102266024661257	0.0671885596928039	0.5859344578925586	0.2216943400470189	-0.36424011784553967	3.6633496200514886	3.2319209425131445	-0.431428677538344	0.6682024458441614	0.5267851203291365	-0.14141732551502495	0.9818838514193107	0.9296455079009244	-0.0522383435183863	0.10864319045851663	0.11075644046128588	0.002113250002769254	0.8281867243707615	0.7780867509660405	-0.05009997340472094	16.907850000000003	18.250349999999997	1.342499999999994
18	0.5359702626641651	0.4634532833020638	-0.07251697936210133	0.9126511257035649	0.8285820825515948	-0.08406904315197006	0.37668086303939957	0.3651287992495309	-0.011552063789868672	-2.481342504815447	-2.4866683779848153	-0.005325873169368389	0.4849450455362855	0.5213291820194016	0.036384136483116114	2.9662875503517325	3.007997560004217	0.04171000965248428	0.8581935191207763	0.6515427580930353	-0.20665076102774105	0.9910419658546827	0.9565538960276012	-0.034488069827081524	0.09238596717726573	0.11524768935322742	0.02286172217596169	0.8324827060734948	0.7976146156862411	-0.03486809038725369	16.5809	17.97185	1.3909500000000001
19	0.48547542213883677	0.45883564727954973	-0.026639774859287035	0.8632553470919324	0.7807139774859289	-0.08254136960600356	0.3777799249530958	0.32187833020637907	-0.05590159474671674	-3.3774868863367637	-2.454616375112353	0.9228705112244109	-0.289451288997276	0.4159116044557723	0.7053628934530483	3.0880355973394877	2.8705279795681258	-0.21750761777136196	0.5878096887958864	0.4046276373802761	-0.18318205141561028	0.997481269037564	0.9644312551584633	-0.03305001387910067	0.09096140697858546	0.1003724366797781	0.009411029701192647	0.8808175296201476	0.8071517651430563	-0.07366576447709128	15.515899999999998	18.414849999999998	2.8989499999999992
20	0.47196857410881804	0.4198354596622889	-0.05213311444652913	0.9303605065666041	0.8602984052532834	-0.07006210131332069	0.45839193245778603	0.4404629455909945	-0.017928986866791508	-3.3674625717688635	-2.935751698470407	0.4317108732984565	0.7457778141399463	0.5510346235818693	-0.19474319055807698	4.113240385908809	3.4867863220522772	-0.6264540638565319	0.581323409553966	0.4729801648105192	-0.10834324474344681	0.9978764394547	0.9807788876308206	-0.017097551823879398	0.10101205991093427	0.11543670108784668	0.014424641176912403	0.8592557081242724	0.8018838080073978	-0.05737190011687465	16.2519	18.832050000000002	2.5801500000000033
