contribution	rho	eta	metric	estimate	se	lower	upper	n
access	0.5	0.0	q_gap	-0.002592393064971715	0.016583348469841386	-0.03730174031498497	0.03211695418504154	20
access	0.5	0.0	rank_gap	0.022829709193245784	0.0056597531448146785	0.010983709719135586	0.03467570866735598	20
access	0.5	0.0	self_fill_rate	-0.00016964900599985566	3.966557569409586e-5	-0.0002526700100595519	-8.662800194015943e-5	20
access	0.5	0.0	self_net_output_per_requested_position	-0.0411802008704254	0.012186369279755442	-0.06668656490885601	-0.015673836831994793	20
access	0.5	0.001	access_fraction	0.008491223722496933	0.0015689955736187537	0.005207278245652718	0.011775169199341148	20
access	0.5	0.001	agent_holdout_rank	-0.034214615384615336	0.0035058575829190045	-0.04155245963699459	-0.026876771132236084	20
access	0.5	0.001	betweenness	-0.17909358354938373	0.008631742854161016	-0.19716002897460977	-0.1610271381241577	20
access	0.5	0.001	broker_fill_rate	-0.0007374200159707467	0.00036701359315654755	-0.0015055882947422256	3.074826280073228e-5	20
access	0.5	0.001	broker_holdout_rank	-0.0038597654784239487	0.006217732910549238	-0.016873630024089693	0.009154099067241796	20
access	0.5	0.001	broker_net_output_per_requested_position	0.011040416564628574	0.01424851842480051	-0.018782075238158894	0.040862908367416045	20
access	0.5	0.001	broker_selected_rank	-0.005247880874705496	0.0017191883528564853	-0.00884618345129272	-0.0016495782981182719	20
access	0.5	0.001	mean_degree	17.744277500000003	1.0662706247618072	15.512547433864563	19.976007566135443	20
access	0.5	0.001	net_output_per_requested_position	-0.004962630333960494	0.009339299258811462	-0.024510008333970584	0.014584747666049596	20
access	0.5	0.001	outsourcing_rate	0.008119434131695816	0.004436630735012993	-0.0011665407172135964	0.017405408980605226	20
access	0.5	0.001	q_gap	0.012663512282485778	0.026653697749887278	-0.04312331824695693	0.06845034281192848	20
access	0.5	0.001	rank_gap	0.030354849906191382	0.006879273300183082	0.015956365412059352	0.04475333440032341	20
access	0.5	0.001	self_fill_rate	-0.00023380671284307098	8.48689182456141e-5	-0.0004114394002027535	-5.617402548338841e-5	20
access	0.5	0.001	self_net_output_per_requested_position	-0.012854204168506378	0.01876852434931808	-0.05213717709737718	0.02642876876036443	20
access	0.5	0.01	access_fraction	0.011541380851577153	0.0028322244356836974	0.005613466980208173	0.017469294722946133	20
access	0.5	0.01	agent_holdout_rank	-0.04456320825515946	0.005033750466358292	-0.055098969065136415	-0.03402744744518251	20
access	0.5	0.01	betweenness	-0.04613337117469982	0.009395487397620904	-0.0657983523008105	-0.02646839004858914	20
access	0.5	0.01	broker_fill_rate	1.3028099129519522e-5	0.00010432623013637644	-0.00020532921005165348	0.00023138540831069254	20
access	0.5	0.01	broker_holdout_rank	-0.022559803001876117	0.006336106840719791	-0.03582142703080368	-0.009298178972948554	20
access	0.5	0.01	broker_net_output_per_requested_position	0.18998640177502665	0.022626616623196635	0.14262834891280118	0.23734445463725212	20
access	0.5	0.01	broker_selected_rank	-0.004812991394970162	0.0021832832280361514	-0.009382655708836049	-0.00024332708110427412	20
access	0.5	0.01	mean_degree	2.1779300000000004	0.424640846192713	1.2891464944343527	3.066713505565648	20
access	0.5	0.01	net_output_per_requested_position	0.13029344297370454	0.013740794521461906	0.10153362951360285	0.15905325643380622	20
access	0.5	0.01	outsourcing_rate	-0.00015119410551426294	0.012650919145473168	-0.026629872187364224	0.026327483976335695	20
access	0.5	0.01	q_gap	0.4670458417782254	0.09269040763999874	0.2730425889747963	0.6610490945816545	20
access	0.5	0.01	rank_gap	0.022003405253283297	0.00867110833995513	0.0038545669193767035	0.04015224358718989	20
access	0.5	0.01	self_fill_rate	-0.00020066426017223415	0.00045198231492527273	-0.001146674117477982	0.0007453455971335137	20
access	0.5	0.01	self_net_output_per_requested_position	-0.33124193822459924	0.0821324876488651	-0.5031472105220673	-0.1593366659271312	20
access	0.5	0.02	access_fraction	0.021087608793292346	0.0020222600287857994	0.01702372511640814	0.02515149247017655	50
access	0.5	0.02	agent_holdout_rank	-0.02726187054409006	0.0027274588544790985	-0.032742904318340135	-0.02178083676983998	50
access	0.5	0.02	betweenness	-0.060108346684648255	0.004310599574401773	-0.0687708208465459	-0.05144587252275061	50
access	0.5	0.02	broker_fill_rate	0.00012630050272312675	5.754255422760302e-5	1.0664410666169275e-5	0.00024193659478008423	50
access	0.5	0.02	broker_holdout_rank	-0.025831151969981214	0.003328787991306432	-0.032520601886963804	-0.019141702052998623	50
access	0.5	0.02	broker_net_output_per_requested_position	0.25557801469163743	0.00983812420559691	0.23580756390826813	0.27534846547500674	50
access	0.5	0.02	broker_selected_rank	-0.0029720607352691176	0.0010577567781763217	-0.00509770256359786	-0.0008464189069403751	50
access	0.5	0.02	mean_degree	2.2035340000000003	0.17737381689896092	1.8470879698447527	2.559980030155248	50
