broker_service	rho	eta	metric	estimate	se	lower	upper	n
access_only	1.0	0.03	self_net_output_per_requested_position	3.418166132742287	0.09812816341178014	3.212781526306522	3.6235507391780524	20
assessment_only	0.0	0.0	access_fraction	0.0011691002060289731	0.000115950316870819	0.0009264134037020833	0.001411787008355863	20
assessment_only	0.0	0.0	agent_holdout_rank	0.6776499574544697	0.008629212745369035	0.6595888076078055	0.6957111073011338	20
assessment_only	0.0	0.0	betweenness	0.37751439450504864	0.011271158737207122	0.35392358814701974	0.40110520086307755	20
assessment_only	0.0	0.0	broker_fill_rate	0.9999585147749037	2.128859870062208e-5	0.9999139572257386	1.0000030723240687	20
assessment_only	0.0	0.0	broker_holdout_rank	0.8222004573407622	0.00827005485062372	0.8048910336071307	0.8395098810743937	20
assessment_only	0.0	0.0	broker_net_output_per_requested_position	5.168228106760891	0.08664583374582263	4.986876292516621	5.34957992100516	20
assessment_only	0.0	0.0	broker_selected_rank	0.9410291266788722	0.004732976157871177	0.9311228937315068	0.9509353596262375	20
assessment_only	0.0	0.0	mean_degree	42.7349875	0.40951087516686796	41.87787138773395	43.59210361226606	20
assessment_only	0.0	0.0	net_output_per_requested_position	5.248602709884375	0.08152672659370294	5.077965310046586	5.419240109722165	20
assessment_only	0.0	0.0	outsourcing_rate	0.5685808749941738	0.02022915429112581	0.5262407684625103	0.6109209815258372	20
assessment_only	0.0	0.0	q_gap	-0.1693663113399929	0.035378854915039254	-0.24341510569459168	-0.09531751698539408	20
assessment_only	0.0	0.0	rank_gap	0.1445504998862926	0.01044996440432099	0.12267847302033816	0.16642252675224703	20
assessment_only	0.0	0.0	self_fill_rate	0.9998095927242383	2.6122446940446236e-5	0.9997549178144319	0.9998642676340447	20
assessment_only	0.0	0.0	self_net_output_per_requested_position	5.365540491284763	0.08323815045725047	5.19132104013328	5.5397599424362465	20
assessment_only	0.0	0.01	access_fraction	0.050357082722937	0.0006028732195967415	0.04909525457256243	0.051618910873311566	20
assessment_only	0.0	0.01	agent_holdout_rank	0.6333210644436864	0.009607701922852869	0.6132119132115704	0.6534302156758024	20
assessment_only	0.0	0.01	betweenness	0.8582159987297908	0.0038739243314949343	0.8501077819190143	0.8663242155405674	20
assessment_only	0.0	0.01	broker_fill_rate	0.999753968187011	3.766684708880533e-5	0.9996751305700005	0.9998328058040216	20
assessment_only	0.0	0.01	broker_holdout_rank	0.9336285935338375	0.004424158640134518	0.9243687230795177	0.9428884639881574	20
assessment_only	0.0	0.01	broker_net_output_per_requested_position	5.09238876848765	0.08449299667380727	4.91554289402033	5.26923464295497	20
assessment_only	0.0	0.01	broker_selected_rank	0.9442664830348422	0.004275701185958919	0.935317337603168	0.9532156284665163	20
assessment_only	0.0	0.01	mean_degree	16.844140000000003	0.141714578958813	16.547527977378863	17.140752022621143	20
assessment_only	0.0	0.01	net_output_per_requested_position	5.062294537025607	0.08158704079298654	4.891530898117894	5.233058175933319	20
assessment_only	0.0	0.01	outsourcing_rate	0.9758845876076758	0.0025466503248264796	0.9705543872196473	0.9812147879957044	20
assessment_only	0.0	0.01	q_gap	1.1404332067698237	0.08920527883656591	0.9537244123846907	1.3271420011549566	20
assessment_only	0.0	0.01	rank_gap	0.30030752909015107	0.009579350887607125	0.2802577172567718	0.32035734092353035	20
assessment_only	0.0	0.01	self_fill_rate	0.9979010548166336	0.0004870449470825391	0.9968816580268118	0.9989204516064554	20
