broker_service	rho	eta	seed	metric	late_value
access_only	0.0	0.0	7	rank_gap	0.20045778611632273
access_only	0.0	0.0	7	self_fill_rate	0.9997365241447623
access_only	0.0	0.0	7	self_net_output_per_requested_position	4.791216391855353
access_only	0.0	0.0	8	access_fraction	0.009832671365412578
access_only	0.0	0.0	8	agent_holdout_rank	0.6720786116322701
access_only	0.0	0.0	8	betweenness	0.15125006448688372
access_only	0.0	0.0	8	broker_fill_rate	0.9985743395528506
access_only	0.0	0.0	8	broker_holdout_rank	0.9017166041275797
access_only	0.0	0.0	8	broker_net_output_per_requested_position	4.672064324937433
access_only	0.0	0.0	8	broker_selected_rank	0.9224767352780207
access_only	0.0	0.0	8	mean_degree	62.224900000000005
access_only	0.0	0.0	8	net_output_per_requested_position	4.669546803157001
access_only	0.0	0.0	8	outsourcing_rate	0.5325133123562061
access_only	0.0	0.0	8	q_gap	-0.0023585687584639194
access_only	0.0	0.0	8	rank_gap	0.22963799249530953
access_only	0.0	0.0	8	self_fill_rate	0.9996156553989632
access_only	0.0	0.0	8	self_net_output_per_requested_position	4.666569658615229
access_only	0.0	0.0	9	access_fraction	0.011560966211211495
access_only	0.0	0.0	9	agent_holdout_rank	0.716289305816135
access_only	0.0	0.0	9	betweenness	0.14394490339210536
access_only	0.0	0.0	9	broker_fill_rate	0.9965048744389012
access_only	0.0	0.0	9	broker_holdout_rank	0.8688273921200749
access_only	0.0	0.0	9	broker_net_output_per_requested_position	5.159146156318742
access_only	0.0	0.0	9	broker_selected_rank	0.9514933894195703
access_only	0.0	0.0	9	mean_degree	62.877250000000004
access_only	0.0	0.0	9	net_output_per_requested_position	5.286704780034178
access_only	0.0	0.0	9	outsourcing_rate	0.45933310056229315
access_only	0.0	0.0	9	q_gap	-0.22727966452727277
access_only	0.0	0.0	9	rank_gap	0.15253808630393992
access_only	0.0	0.0	9	self_fill_rate	0.9997064140203327
access_only	0.0	0.0	9	self_net_output_per_requested_position	5.3950734261737185
access_only	0.0	0.01	1	access_fraction	0.1081569078244999
access_only	0.0	0.01	1	agent_holdout_rank	0.6886075984990618
access_only	0.0	0.01	1	betweenness	0.5923113029784774
access_only	0.0	0.01	1	broker_fill_rate	0.9938581893105981
access_only	0.0	0.01	1	broker_holdout_rank	0.9825765478424016
access_only	0.0	0.01	1	broker_net_output_per_requested_position	5.337379897820147
access_only	0.0	0.01	1	broker_selected_rank	0.9492643738245754
access_only	0.0	0.01	1	mean_degree	28.248450000000002
access_only	0.0	0.01	1	net_output_per_requested_position	5.14644115798634
access_only	0.0	0.01	1	outsourcing_rate	0.8067042979902024
access_only	0.0	0.01	1	q_gap	0.979407422064499
access_only	0.0	0.01	1	rank_gap	0.2939689493433397
access_only	0.0	0.01	1	self_fill_rate	0.997648318992922
access_only	0.0	0.01	1	self_net_output_per_requested_position	4.349703764401073
